Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0213477899826554,0.000331976258037851,0.168646430933182,0,0,0,27.1822392570192,0.429293446277597,-0.000216991996756894,-4.94572650400248E-06,1.70632981737055,-1.14641192314583E-05,1.74352098663277,0,0,0,0,0,0,package://T1-URDF整机/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/base_link.STL,,底盘主体-1,ZB1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ZQ_steer_Link,0.000121360946064908,-0.072692810555278,-0.159191300634159,0,0,0,1.74429895990937,0.00781712499486564,-8.03812386581921E-06,0.000400926977637131,0.00930081253973511,-0.00106047871299566,0.00388205233110843,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZQ_steer_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZQ_steer_Link.STL,,左前-方向-1,ZB2,JZ2,ZQ_steer_Joint,continuous,0.300000000000005,0.224999999999994,0.2,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
ZQ_drive_Link,0.00141447011216977,-0.042060552196583,2.1621620605039E-09,0,0,0,3.31449484311451,0.0138480353794288,-0.000366741878365007,-1.24567070429085E-09,0.024741118558996,3.10353904154592E-10,0.0138357005287351,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZQ_drive_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZQ_drive_Link.STL,,轮子-1,ZB3,JZ3,ZQ_drive_Joint,continuous,-0.00141758727585567,0.0404752223880737,-0.17693428484864,0,0,0,ZQ_steer_Link,0,-1,0,,,,,,,,,,,,
RQ_steer_Link,-0.0050763116308406,0.0724656685574203,-0.159025346343445,0,0,0,1.74816375723316,0.00783022569826727,-0.000100730177307134,0.000305443560215336,0.00932450172129311,0.00108513234884881,0.00390319062497083,0,0,0,0,0,0,package://T1-URDF整机/meshes/RQ_steer_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/RQ_steer_Link.STL,,右前-方向-3,ZB4,JZ4,RQ_steer_Joint,continuous,0.299999999999995,-0.225000000000006,0.2,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
RQ_drive_Link,-0.00170664246044694,0.0420497105309179,-1.24643961818549E-10,0,0,0,3.31449484272028,0.0138536546319213,-0.000442381210104924,-7.63367852301196E-10,0.0247354972782786,-1.50401682203764E-10,0.0138357025573881,0,0,0,0,0,0,package://T1-URDF整机/meshes/RQ_drive_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/RQ_drive_Link.STL,,轮子-2,ZB5,JZ5,RQ_drive_Joint,continuous,0.00158603519610695,-0.0404689717364478,-0.17693428484864,0,0,0,RQ_steer_Link,0,-1,0,,,,,,,,,,,,
ZH_steer_Link,0.002962743105409,-0.0725828099601041,-0.165025349402564,0,0,0,1.74816369409637,0.00782562668648622,-5.70392528944911E-05,-0.000336931050943393,0.00932910037744797,-0.00107577194669758,0.00390319059718254,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZH_steer_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZH_steer_Link.STL,,左后-方向-1,ZB6,JZ4,ZH_steer_Joint,continuous,-0.299999999999995,0.225000000000006,0.203,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
ZH_drive_Link,0.000480721024806396,-0.0420815836502523,-2.07172412558521E-09,0,0,0,3.31449484381753,0.0138371262572215,-0.000124703556739872,-1.40844524269933E-09,0.0247520272852037,-3.55217293260057E-10,0.0138357009321543,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZH_drive_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZH_drive_Link.STL,,轮子-4,ZB7,JZ7,ZH_drive_Joint,continuous,-0.0004062277515538,0.0404980019267934,-0.18293428484864,0,0,0,ZH_steer_Link,0,-1,0,,,,,,,,,,,,
RH_steer_Link,0.00908543212076046,0.0721229103010369,-0.162191296238466,0,0,0,1.74429886959739,0.0078388992058354,0.000178601115496006,-0.000263400675930938,0.00927903645464968,0.00110271356800779,0.00388205196818296,0,0,0,0,0,0,package://T1-URDF整机/meshes/RH_steer_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/RH_steer_Link.STL,,右后-方向-1,ZB8,JZ8,RH_steer_Joint,continuous,-0.300000000000005,-0.224999999999994,0.203,0,0,0,base_link,0,0,1,,,,,,,,,,,,
ZH_drive_Link1,0.00392346450854758,0.0419010404681741,1.47026940622297E-09,0,0,0,3.3144948439402,0.0139305931503639,0.00101341449404969,1.22888194946605E-09,0.0246585592727039,-4.06774340075939E-10,0.0138357020573706,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZH_drive_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/ZH_drive_Link1.STL,,轮子-3,ZB9,JZ9,ZH_drive_Joint1,continuous,-0.00371960567923496,-0.0403288694936978,-0.17993428484864,0,0,0,RH_steer_Link,0,-1,0,,,,,,,,,,,,
SJ_Link,0.0686638165949501,-1.07267992408355E-05,-0.000881765825659242,0,0,0,5.61461431169406,0.0663889611076897,5.4802217020189E-06,0.00113637722175496,0.10003831104659,7.4303039886346E-07,0.103955722835768,0,0,0,0,0,0,package://T1-URDF整机/meshes/SJ_Link.STL,1,1,1,1,0,0,0,0,0,0,package://T1-URDF整机/meshes/SJ_Link.STL,,身体-1,ZB10,JZ10,SJ_Joint,prismatic,0.13104,0,0.775,0,0,0,base_link,0,0,1,0,0,0,0.6,,,,,,,,
